Short Lead,Extender Lead,Off Lead,Total,Day,Park,Sunrise,Darkness,Session,Time,Type
0,0,1,1,1,2,17.98333333,-0.983333333,Evening,17:00,DogCounts
0,0,0,0,1,2,17.98333333,-0.95,Evening,17:02,DogCounts
2,0,0,2,1,2,17.98333333,-0.916666666,Evening,17:04,DogCounts
0,0,0,0,1,2,17.98333333,-0.883333333,Evening,17:06,DogCounts
0,0,0,0,1,2,17.98333333,-0.85,Evening,17:08,DogCounts
0,0,0,0,1,2,17.98333333,-0.816666666,Evening,17:10,DogCounts
0,1,1,2,1,2,17.98333333,-0.783333333,Evening,17:12,DogCounts
1,0,1,2,1,2,17.98333333,-0.75,Evening,17:14,DogCounts
0,0,0,0,1,2,17.98333333,-0.716666666,Evening,17:16,DogCounts
0,0,0,0,1,2,17.98333333,-0.683333333,Evening,17:18,DogCounts
0,0,0,0,1,2,17.98333333,-0.65,Evening,17:20,DogCounts
0,0,0,0,1,2,17.98333333,-0.616666666,Evening,17:22,DogCounts
0,1,0,1,1,2,17.98333333,-0.583333333,Evening,17:24,DogCounts
0,1,0,1,1,2,17.98333333,-0.55,Evening,17:26,DogCounts
0,1,1,2,1,2,17.98333333,-0.516666666,Evening,17:28,DogCounts
0,0,0,0,1,2,17.98333333,-0.483333333,Evening,17:30,DogCounts
0,0,0,0,1,2,17.98333333,-0.45,Evening,17:32,DogCounts
1,0,0,1,1,3,17.98333333,-0.133333333,Evening,17:51,DogCounts
0,0,1,1,1,3,17.98333333,-0.1,Evening,17:53,DogCounts
0,1,1,2,1,3,17.98333333,-0.066666666,Evening,17:55,DogCounts
0,0,0,0,1,3,17.98333333,-0.033333333,Evening,17:57,DogCounts
0,0,0,0,1,3,17.98333333,0,Evening,17:59,DogCounts
0,0,0,0,1,3,17.98333333,0.033333334,Evening,18:01,DogCounts
0,0,0,0,1,3,17.98333333,0.066666667,Evening,18:03,DogCounts
0,0,0,0,1,3,17.98333333,0.1,Evening,18:05,DogCounts
0,0,0,0,1,3,17.98333333,0.133333334,Evening,18:07,DogCounts
0,0,0,0,1,3,17.98333333,0.166666667,Evening,18:09,DogCounts
0,0,0,0,1,3,17.98333333,0.2,Evening,18:11,DogCounts
0,0,0,0,1,3,17.98333333,0.233333334,Evening,18:13,DogCounts
0,1,0,1,1,3,17.98333333,0.266666667,Evening,18:15,DogCounts
0,0,1,1,1,3,17.98333333,0.3,Evening,18:17,DogCounts
1,0,0,1,1,3,17.98333333,0.333333334,Evening,18:19,DogCounts
0,0,0,0,1,3,17.98333333,0.366666667,Evening,18:21,DogCounts
0,0,0,0,1,3,17.98333333,0.4,Evening,18:23,DogCounts
0,0,0,0,1,1,17.98333333,0.916666667,Evening,18:54,DogCounts
0,0,0,0,1,1,17.98333333,0.95,Evening,18:56,DogCounts
0,0,0,0,1,1,17.98333333,0.983333334,Evening,18:58,DogCounts
0,0,0,0,1,1,17.98333333,1.016666667,Evening,19:00,DogCounts
0,0,0,0,1,1,17.98333333,1.05,Evening,19:02,DogCounts
0,0,0,0,1,1,17.98333333,1.083333334,Evening,19:04,DogCounts
0,0,0,0,1,1,17.98333333,1.116666667,Evening,19:06,DogCounts
0,0,0,0,1,1,17.98333333,1.15,Evening,19:08,DogCounts
0,0,0,0,1,1,17.98333333,1.183333334,Evening,19:10,DogCounts
0,0,0,0,1,1,17.98333333,1.216666667,Evening,19:12,DogCounts
0,0,0,0,1,1,17.98333333,1.25,Evening,19:14,DogCounts
0,0,0,0,1,1,17.98333333,1.283333334,Evening,19:16,DogCounts
0,0,0,0,1,1,17.98333333,1.316666667,Evening,19:18,DogCounts
